id_historico_tasas_gen,fecha,tasa,nodo,curva,expectativa,precio,duracion
306127,09/04/21,-3.34,nodo_1,Gen Tesoros inflación,false,,
307491,09/04/21,-2.84,nodo_2,Gen Tesoros inflación,false,,
308855,09/04/21,-2.39,nodo_3,Gen Tesoros inflación,false,,
310219,09/04/21,-1.99,nodo_4,Gen Tesoros inflación,false,,
311583,09/04/21,-1.64,nodo_5,Gen Tesoros inflación,false,,
312947,09/04/21,-1.34,nodo_6,Gen Tesoros inflación,false,,
314311,09/04/21,-1.09,nodo_7,Gen Tesoros inflación,false,,
315675,09/04/21,-0.89,nodo_8,Gen Tesoros inflación,false,,
317039,09/04/21,-0.74,nodo_9,Gen Tesoros inflación,false,,
318403,09/04/21,-0.64,nodo_10,Gen Tesoros inflación,false,,
320389,09/04/21,-0.195266644,nodo_1,Gen tesoros,false,106.787074,
320380,09/04/21,0.112473439,nodo_2,Gen tesoros,false,108.54217,
320388,09/04/21,0.395283374,nodo_3,Gen tesoros,false,110.792613,
320381,09/04/21,0.65316316,nodo_4,Gen tesoros,false,113.3794051,
320382,09/04/21,0.886112798,nodo_5,Gen tesoros,false,116.1135717,
320383,09/04/21,1.094132287,nodo_6,Gen tesoros,false,118.803287,
320384,09/04/21,1.277221628,nodo_7,Gen tesoros,false,121.2740754,
320385,09/04/21,1.435380821,nodo_8,Gen tesoros,false,123.3294058,
320386,09/04/21,1.568609865,nodo_9,Gen tesoros,false,124.8041145,
320387,09/04/21,1.676908762,nodo_10,Gen tesoros,false,125.6525479,
306128,10/04/21,-3.34,nodo_1,Gen Tesoros inflación,false,,
307492,10/04/21,-2.84,nodo_2,Gen Tesoros inflación,false,,
308856,10/04/21,-2.39,nodo_3,Gen Tesoros inflación,false,,
310220,10/04/21,-1.99,nodo_4,Gen Tesoros inflación,false,,
311584,10/04/21,-1.64,nodo_5,Gen Tesoros inflación,false,,
312948,10/04/21,-1.34,nodo_6,Gen Tesoros inflación,false,,
314312,10/04/21,-1.09,nodo_7,Gen Tesoros inflación,false,,
315676,10/04/21,-0.89,nodo_8,Gen Tesoros inflación,false,,
317040,10/04/21,-0.74,nodo_9,Gen Tesoros inflación,false,,
318404,10/04/21,-0.64,nodo_10,Gen Tesoros inflación,false,,
320399,10/04/21,-0.195266644,nodo_1,Gen tesoros,false,106.787074,
320390,10/04/21,0.112473439,nodo_2,Gen tesoros,false,108.54217,
320398,10/04/21,0.395283374,nodo_3,Gen tesoros,false,110.792613,
320391,10/04/21,0.65316316,nodo_4,Gen tesoros,false,113.3794051,
320392,10/04/21,0.886112798,nodo_5,Gen tesoros,false,116.1135717,
320393,10/04/21,1.094132287,nodo_6,Gen tesoros,false,118.803287,
320394,10/04/21,1.277221628,nodo_7,Gen tesoros,false,121.2740754,
320395,10/04/21,1.435380821,nodo_8,Gen tesoros,false,123.3294058,
320396,10/04/21,1.568609865,nodo_9,Gen tesoros,false,124.8041145,
320397,10/04/21,1.676908762,nodo_10,Gen tesoros,false,125.6525479,
306129,11/04/21,1,nodo_1,Gen Tesoros inflación,true,,
307493,11/04/21,1,nodo_2,Gen Tesoros inflación,true,,
308857,11/04/21,1,nodo_3,Gen Tesoros inflación,true,,
310221,11/04/21,1,nodo_4,Gen Tesoros inflación,true,,
312949,11/04/21,1,nodo_5,Gen Tesoros inflación,true,,
314313,11/04/21,1,nodo_6,Gen Tesoros inflación,true,,
315677,11/04/21,1,nodo_7,Gen Tesoros inflación,true,,
317041,11/04/21,1,nodo_8,Gen Tesoros inflación,true,,
318405,11/04/21,1,nodo_9,Gen Tesoros inflación,true,,
320400,11/04/21,1,nodo_10,Gen Tesoros inflación,true,,
320401,11/04/21,1,nodo_1,Gen tesoros,true,1,
320402,11/04/21,1,nodo_2,Gen tesoros,true,1,
320403,11/04/21,1,nodo_3,Gen tesoros,true,1,
320404,11/04/21,1,nodo_4,Gen tesoros,true,1,
320405,11/04/21,1,nodo_5,Gen tesoros,true,1,
320406,11/04/21,1,nodo_6,Gen tesoros,true,1,
320407,11/04/21,1,nodo_7,Gen tesoros,true,1,
320408,11/04/21,1,nodo_8,Gen tesoros,true,1,
320409,11/04/21,1,nodo_10,Gen tesoros,true,1,
311585,11/04/21,1,nodo_9,Gen tesoros,true,1,